adType,categoriesCode,categoriesName,companyId,companyName,companyPrivate,description,employment,id,isClassified,isStandout,jobTitle,jobUrl,locations,postingDuration,postedAt,salarycurrency,salaryMin,salaryMax,salaryPeriod,salaryTerm,sellingPoints
standout,"511,184","Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan",jobstreet-id-250464,PT Hastari Jaya Sentosa,false,"QUALIFICATIONS : Bachelor Degree majoring Civil Engineering Experience in construction industry, at least 5 years experience Experience in...",full_time,3735423,false,true,Project Manager Civil,https://www.jobstreet.co.id/id/job/project-manager-civil-3735423?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=1&jobId=jobstreet-id-job-3735423,"Jakarta Raya,Kediri",59 minutes ago,2021-12-28T17:00:47Z,IDR,8500000,12000000,monthly,,"BPJS Ketenagakerjaan & Kesehatan,Bonuses"
standout,"507,105","Pendidikan/Pelatihan,Pendidikan",426407,PT. Bina Juara Indonesia,false,PT Bina Juara Indonesia membutuhkan individu yang siap berkarir dan memiliki passion sebagai guru. Semua pengajar kami merupakan GURU TETAP yang...,full_time,3735308,false,true,Guru Matematika SMA,https://www.jobstreet.co.id/id/job/guru-matematika-sma-3735308?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=2&jobId=jobstreet-id-job-3735308,Jakarta Barat,an hour ago,2021-12-28T17:00:00Z,IDR,3000000,5000000,monthly,,"Penghasilan menarik,Perkembangan karir cepat,Peningkatan kompetensi mengajar"
standout,"509,187","Teknik,Teknik Elektro",,,true,"We are sole distributor of multiple European machine manufacturers. We supply for these following industries: flexible packaging (plastic), plastic...",full_time,3735209,false,true,Electrical Engineer / Teknisi Elektrikal,https://www.jobstreet.co.id/id/job/electrical-engineer-teknisi-elektrikal-3735209?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=3&jobId=jobstreet-id-job-3735209,Jakarta Raya,an hour ago,2021-12-28T17:00:00Z,IDR,5000000,8000000,monthly,,
standard,"505,147","Pelayanan,Logistik/Rantai Pasokan",jobstreet-id-39469,PT Trifita Perkasa,false,"Supports delivery of Business Management and Supply Chain strategy within Region Maintains a strong focus on safety, encouraging drive toward best...",full_time,3735356,false,false,SUPPLY CHAIN & LOGISTICS MANAGER,https://www.jobstreet.co.id/id/job/supply-chain-logistics-manager-3735356?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=4&jobId=jobstreet-id-job-3735356,Samarinda,an hour ago,2021-12-28T17:00:00Z,,,,monthly,,
standard,"501,131","Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",jobstreet-id-344169,CV. Apta Sejahtera Motor,false,Kualifikasi:Pengalaman minimal 3 tahun di posisi yang samaDapat mengoperasikan komputerMengerti akuntansi dan...,full_time,3734838,false,false,Admin Piutang,https://www.jobstreet.co.id/id/job/admin-piutang-3734838?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=5&jobId=jobstreet-id-job-3734838,Sidoarjo,an hour ago,2021-12-28T17:00:00Z,IDR,3000000,4000000,monthly,,
standout,"507,105","Pendidikan/Pelatihan,Pendidikan",426407,PT. Bina Juara Indonesia,false,PT Bina Juara Indonesia membutuhkan individu yang siap berkarir dan memiliki passion sebagai guru. Semua pengajar kami merupakan GURU TETAP yang...,full_time,3735317,false,true,Guru Fisika SMA,https://www.jobstreet.co.id/id/job/guru-fisika-sma-3735317?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=6&jobId=jobstreet-id-job-3735317,Jakarta Barat,an hour ago,2021-12-28T17:00:00Z,IDR,3000000,5000000,monthly,,"Penghasilan menarik,Perkembangan karir cepat,Peningkatan kompetensi mengajar"
standout,"503,145","Penjualan / Pemasaran,Penjualan Ritel",jobstreet-id-208432,PT VENTURA SEMESTA WISATA,false,"Kami memiliki anak perusahaan bernama ALSABAT INDONESIA bergerak di bidang penjualan Kurma, Herbal dan Produk Timur Tengah lainnya.Deskripsi...",full_time,3735381,false,true,Sales Executive,https://www.jobstreet.co.id/id/job/sales-executive-3735381?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=7&jobId=jobstreet-id-job-3735381,"Depok,Bekasi",an hour ago,2021-12-28T17:00:00Z,IDR,3250000,5000000,monthly,,"Sukses bersama dan mendapatkan reward Gratis Umrah,Jenjang karir yang menjanjikan,Insentif menarik"
standout,"505,138","Pelayanan,Pengacara / Asisten Legal",jobstreet-id-216182,PT. PERUMNAS IIDA GROUP,false,Qualification He with age around 26-40 Experienced as Legal Litigation Officer Experienced in handling/ pleading land related case Experienced in Real...,full_time,3734776,false,true,Real Estate Legal Staff,https://www.jobstreet.co.id/id/job/real-estate-legal-staff-3734776?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=8&jobId=jobstreet-id-job-3734776,Bekasi,an hour ago,2021-12-28T17:00:00Z,,,,monthly,,"Pegetahuan menangani kasus-kasus pertanahan,Menangani Legal perusahaan secara luas/keseluruhan,Bekerja di dalam 2 budaya: Jepang dan Indonesia"
standout,"513,111","Layanan Kesehatan,Praktisi/Asisten Medis",jobstreet-id-27663,Maharis Clinic,false,"Maksimal 35 tahun Pendidikan D3 /S1 Akper. STR Suster masih berlaku, dan terdaftar sebagai anggota PPNI. Pengalaman Minimal 3 tahun sebagai nurse....",full_time,3734723,false,true,NURSE,https://www.jobstreet.co.id/id/job/nurse-3734723?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=9&jobId=jobstreet-id-job-3734723,"Jakarta Pusat,Jakarta Selatan,Jakarta Utara,Tangerang",an hour ago,2021-12-28T17:00:00Z,,,,monthly,,
standard,"503,203","Penjualan / Pemasaran,Digital Marketing",jobstreet-id-318699,Sahabat Mobil Nusantara,false,Creating And Executing a strong performance marketing strategy &amp; Execution plan developing and managing digital prospecting marketing.  Managing...,full_time,3735339,false,false,Senior Performance Marketing,https://www.jobstreet.co.id/id/job/senior-performance-marketing-3735339?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=10&jobId=jobstreet-id-job-3735339,Jakarta Selatan,an hour ago,2021-12-28T17:00:00Z,IDR,12000000,20000000,monthly,,
standout,"504,101","Seni/Media/Komunikasi,Seni / Desain Kreatif",427544,PT Maju Jaya Agung Labelindo,false,Kualifikasi : Minimal lulusan D3 /Grafika  Diutamakan bisa AI dan Photoshop Bersedia di tempatkan di Jakarta dan Bekasi. Tugas pekerjaan :...,full_time,3734906,false,true,Design Gambar Percetakan,https://www.jobstreet.co.id/id/job/design-gambar-percetakan-3734906?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=11&jobId=jobstreet-id-job-3734906,"Jakarta Raya,Bekasi",an hour ago,2021-12-28T17:00:00Z,,,,monthly,,
standard,"505,119","Pelayanan,Angkatan Bersenjata",jobstreet-id-344332,CV Savitri Kebumen,false,Kualifikasi : Usia maksimal 35 tahun Pendidikan minimal SMA/sederajat Diutamakan yang berpengalaman mempunyai sertifikat Satpam Berpenampilan rapi dan...,full_time,3734842,false,false,SATPAM,https://www.jobstreet.co.id/id/job/satpam-3734842?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=12&jobId=jobstreet-id-job-3734842,Jawa Tengah,an hour ago,2021-12-28T17:00:00Z,,,,monthly,,
standout,"503,139","Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",jobstreet-id-281807,DROPSHIP GRAPHICS,false,"Kualifikasi Usia: 24-28 Pendidikan: minimal D1 Pengalaman di bidang Analis, Purchasing, Perbankan,Marketing (Min 1 Tahun) Memiliki kemampuan analisa...",full_time,3704659,false,true,RESEARCH & DEVELOPMENT STAFF,https://www.jobstreet.co.id/id/job/research-development-staff-3704659?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=13&jobId=jobstreet-id-job-3704659,Jakarta Selatan,an hour ago,2021-12-28T17:00:00Z,IDR,4000000,8000000,monthly,,"Bonus Tahunan,THR"
standard,"502,133","Sumber Daya Manusia/Personalia,Staf / Administrasi umum",jobstreet-id-344601,Nimaz Hijab,false,"Usia maksimal 25 tahun, Pendidikan minimal SMP/Sederajat, Lokasi Kediri (diutamakan yang dekat dengan store), Disiplin, jujur, dan tanggung jawab,...",full_time,3735395,false,false,Admin Online and Offline,https://www.jobstreet.co.id/id/job/admin-online-and-offline-3735395?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=14&jobId=jobstreet-id-job-3735395,Kediri,an hour ago,2021-12-28T17:00:00Z,,,,monthly,,
standout,"503,139","Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",jobstreet-id-260997,PT UNIVERSE RIVER MINING,false,"Job responsibilities: Daily administrative work Market collection, file management, and contract review and business reception Other tasks assigned by...",full_time,3705410,false,true,MANAGER ASSISTANT,https://www.jobstreet.co.id/id/job/manager-assistant-3705410?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=15&jobId=jobstreet-id-job-3705410,Jakarta Raya,an hour ago,2021-12-28T17:00:00Z,,,,monthly,,
standard,"511,150","Bangunan/Konstruksi,Properti/Real Estate",jobstreet-id-340325,PT Bima Optima Sawit,false,"Property Sales- Berpengalaman sebagai Sales Property minimal 3 tahun- Jujur, giat, dan bertanggung jawab dalam bekerja- Dapat menjaga hubungan baik...",part_time,3735183,false,false,Property Marketing,https://www.jobstreet.co.id/id/job/property-marketing-3735183?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=16&jobId=jobstreet-id-job-3735183,Jambi,an hour ago,2021-12-28T17:00:00Z,IDR,4000000,5200000,monthly,,
standard,"501,135","Akuntansi / Keuangan,Perbankan / Jasa Finansial ",434658,PT Lokatara Bersama Indonesia,false,"Our client is the Leading Indonesian Logistic Company put the customer first in everything they do, currently looking for driven and passionate Leader...",full_time,3735422,false,false,Head of Risk Management,https://www.jobstreet.co.id/id/job/head-of-risk-management-3735422?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=17&jobId=jobstreet-id-job-3735422,Jakarta Raya,an hour ago,2021-12-28T16:54:31Z,,,,monthly,,
standard,"505,118","Pelayanan,Perawatan Pribadi",jobstreet-id-344533,The Kliniix Plus,false,Kualifikasi : Usia 19 - 30 Tahun Pendidikan SMA (Umum)/ SMK (Jurusan Kecantikan ) / Sederajat/ Perawat/ Bidan Tidak sedang Kuliah Ramah &amp;...,full_time,3735421,false,false,Beauty Therapist,https://www.jobstreet.co.id/id/job/beauty-therapist-3735421?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=18&jobId=jobstreet-id-job-3735421,Medan,an hour ago,2021-12-28T16:53:02Z,,,,monthly,,
standout,"509,185","Teknik,Teknik Kimia",428895,PT Vision Teknik,false,"Jobs Description : Provide service / installation / qualification of Instrument (Analytical Instruments) and System at customer site, especially in...",full_time,3735418,false,true,Service Engineer,https://www.jobstreet.co.id/id/job/service-engineer-3735418?token=0~72d1c887-e086-4b2d-9edc-d29fcff3d7f5&sectionRank=19&jobId=jobstreet-id-job-3735418,"Jakarta Raya,Semarang,Surabaya",an hour ago,2021-12-28T16:19:51Z,,,,monthly,,
