adType,categoriesCode,categoriesName,companyId,companyName,companyPrivate,description,employment,id,isClassified,isStandout,jobTitle,jobUrl,locations,postingDuration,postedAt,salarycurrency,salaryMin,salaryMax,salaryPeriod,salaryTerm,sellingPoints
standout,"506,107","Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",jobstreet-id-67673,PT Ock Ina Sukses,false,"#Penting : Sebelum kilik ""Kirim Lamaran / Apply"". Manfaatkan kolom Promosikan diri Anda! Untuk memilih Lokasi Penempatan dan Posisi Jabatan yang...",contract,3718510,false,true,MOD - Leader - Crew Jabodetabek,https://www.jobstreet.co.id/id/job/mod-leader-crew-jabodetabek-3718510?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=1&jobId=jobstreet-id-job-3718510,"Jakarta Raya,Bekasi,Depok,Tangerang",8 minutes ago,2021-12-12T08:18:10Z,,,,monthly,,"Lingkungan Kerja yang nyaman dan harmonis,Kultur Perusahaan : Atasan yang baik dan memberikan bimbingan,Pengembangan Diri dan Karir"
standout,"503,145","Penjualan / Pemasaran,Penjualan Ritel",427353,PT Kafindo Cita Rasa,false,"Membangun dan mempertahankan hubungan kerja yang baik dengan customer perusahaan, baik customer tetap maupun customer baru. Aktif dalam pemasaran...",full_time,3718507,false,true,Sales Marketing Staff (Food & Beverage),https://www.jobstreet.co.id/id/job/sales-marketing-staff-food-beverage-3718507?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=2&jobId=jobstreet-id-job-3718507,Jakarta Raya,16 minutes ago,2021-12-12T08:09:12Z,,,,monthly,,
standard,"509,187","Teknik,Teknik Elektro",jobstreet-id-217925,PT Buana Lautan Intan,false,PT Buana Lautan Intan bergerak dibidang perawatan gedung membutuhkan Teknisi MEP untuk ditempatkan di BandungTanggung Jawab Pekerjaan : Melakukan...,full_time,3718506,false,false,Teknisi,https://www.jobstreet.co.id/id/job/teknisi-3718506?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=3&jobId=jobstreet-id-job-3718506,Bandung,25 minutes ago,2021-12-12T08:00:20Z,IDR,3000000,4200000,monthly,,
standout,"501,131","Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",jobstreet-id-69648,PT Goodway Vacation Club,false,"Lowongan dibuka hanya 2 hari..!!Dibutuhkan segera, FINANCE SUPERVISORSyarat dan kualifikasi :1. Pendidikan Minimum D3/S1 Akuntansi/Keuangan/Ekonomi...",full_time,3718505,false,true,Finance Supervisor,https://www.jobstreet.co.id/id/job/finance-supervisor-3718505?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=4&jobId=jobstreet-id-job-3718505,Jakarta Pusat,27 minutes ago,2021-12-12T07:58:32Z,IDR,4800000,5000000,monthly,,
standard,"503,139","Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",435542,PT NORD KAPITAL VENTURA,false,"Requirement : M*le Only Have experience in the sama role Have experience more than 3 years to be SPV \ Proficient knowledge of customer service, and...",full_time,3718502,false,false,SPV Customer Service,https://www.jobstreet.co.id/id/job/spv-customer-service-3718502?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=5&jobId=jobstreet-id-job-3718502,Jakarta Utara,an hour ago,2021-12-12T07:09:15Z,IDR,7000000,12000000,monthly,,
standout,"508,191","Komputer/Teknologi Informasi,IT-Perangkat Lunak",434618,PT Linktone Indonesia - OKEZONE,false,"Job Description:• Develop, construct, test and maintain architectures, such as databases and large-scale processing systems.• Recommend and sometimes...",full_time,3718501,false,true,Data Engineer,https://www.jobstreet.co.id/id/job/data-engineer-3718501?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=6&jobId=jobstreet-id-job-3718501,Jakarta Pusat,an hour ago,2021-12-12T06:46:27Z,,,,monthly,,"Competitive Salary and Benefits,Career Path,Friendly Work Environment"
standard,"502,137","Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",435542,PT NORD KAPITAL VENTURA,false,"Qualification : 33 Years Old S1 Psychology/Management (Human Resource) Have experience more than 3 years in the same field specially in recruitment ,...",full_time,3718500,false,false,Recruitment Specialist,https://www.jobstreet.co.id/id/job/recruitment-specialist-3718500?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=7&jobId=jobstreet-id-job-3718500,Sumatera Utara,an hour ago,2021-12-12T06:46:11Z,IDR,7000000,9000000,monthly,,
standout,"505,134","Pelayanan,Layanan Pelanggan",jobstreet-id-213790,CV. LANGGENG MAKMUR INTERNATIONAL,false,Deskripsi Pekerjaan Melayani chat customer di semua platform Menyiapkan label pengiriman Mengatasi komplain customer Koordinasi inventory &amp; stock...,full_time,3718498,false,true,ADMIN ONLINE SHOP,https://www.jobstreet.co.id/id/job/admin-online-shop-3718498?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=8&jobId=jobstreet-id-job-3718498,Jakarta Utara,an hour ago,2021-12-12T06:34:58Z,IDR,3500000,4900000,monthly,,
standout,"508,191","Komputer/Teknologi Informasi,IT-Perangkat Lunak",506871,PT MNC Okezone Network,false,Jobs Description• Design and develop a highly maintainable and reliable iPhone app• Deliver tech-based solutions that bring positive impact to...,full_time,3718497,false,true,IOS Developer,https://www.jobstreet.co.id/id/job/ios-developer-3718497?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=9&jobId=jobstreet-id-job-3718497,Jakarta Pusat,an hour ago,2021-12-12T06:31:39Z,,,,monthly,,"Career Path,Friendly Working Environment,Competitive Salary and Benefit"
standout,"503,202","Penjualan / Pemasaran,E-commerce",jobstreet-id-213790,CV. LANGGENG MAKMUR INTERNATIONAL,false,*Live Streaming Online Shop Host*Persyaratan Pekerjaan : Minimal lulusan SMA/Sederajat. Usia 18 - 25 tahun. Memiliki pengalaman dibidang video...,full_time,3718495,false,true,*Live Streaming Online Shop Host*,https://www.jobstreet.co.id/id/job/*live-streaming-online-shop-host*-3718495?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=10&jobId=jobstreet-id-job-3718495,Jakarta Utara,2 hours ago,2021-12-12T06:25:52Z,IDR,3500000,4900000,monthly,,"jenjang karir yang panjang,2 jenis Bonus diluar gaji pokok,tempat tinggal dan makan ditanggung perusahaan"
standard,"506,107","Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",432897,PT GREENLY LIFESTYLE INDONESIA,false,"Able to effectively control the Food &amp; Beverage Cost. Control the Food and Beverage outlets in terms of wastage, pilferage and efficiency. Prepare...",full_time,3718494,false,false,Cost Control Manager ( Food & Beverage ),https://www.jobstreet.co.id/id/job/cost-control-manager-food-beverage-3718494?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=11&jobId=jobstreet-id-job-3718494,"Jawa Timur,Jakarta Raya",2 hours ago,2021-12-12T06:18:50Z,,,,monthly,,
standard,"501,131","Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",383500,PT JAC Indonesia,false,"Requirements Male or Female maximum 25 years old Experienced in manfuacturing company will be an advantage. Able to communicate in English is a Must,...",full_time,3718492,false,false,Accounting Staff,https://www.jobstreet.co.id/id/job/accounting-staff-3718492?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=12&jobId=jobstreet-id-job-3718492,Karawang,2 hours ago,2021-12-12T06:16:37Z,IDR,5500000,7000000,monthly,,
standard,"501,131","Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",383500,PT JAC Indonesia,false,"Requirements Male or Female maximum 30 years old Experienced in manfuacturing company will be advantage.  Able to communicate in English is a Must,...",full_time,3718491,false,false,Accounting Leader,https://www.jobstreet.co.id/id/job/accounting-leader-3718491?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=13&jobId=jobstreet-id-job-3718491,Karawang,2 hours ago,2021-12-12T06:03:30Z,IDR,7000000,9000000,monthly,,
standout,"513,111","Layanan Kesehatan,Praktisi/Asisten Medis",438603,ZAP Clinic (PT. Zulu Alpha Papa),false,ZAP Clinic sedang membuka lowongan untuk posisi Perawat  penempatan Karawaci.  Kami mencari talent berbakat untuk join dalam team medical ZAP...,contract,3718490,false,true,Perawat (Penempatan Karawaci),https://www.jobstreet.co.id/id/job/perawat-penempatan-karawaci-3718490?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=14&jobId=jobstreet-id-job-3718490,Tangerang,2 hours ago,2021-12-12T05:38:47Z,,,,monthly,,"Best Benefits, Work Life Balance"
standout,"504,141","Seni/Media/Komunikasi,Hubungan Masyarakat",jobstreet-id-263263,PT Khaleesi Internasional Medika,false,"Tanggung jawab:Melakukan dan mereview aktivitas pengelolaan hubungan masyarakat (humas) yang terpadu mulai dari mengembangkan strategi PR, membina...",full_time,3718489,false,true,Public Relations,https://www.jobstreet.co.id/id/job/public-relations-3718489?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=15&jobId=jobstreet-id-job-3718489,Jakarta Barat,3 hours ago,2021-12-12T05:06:55Z,IDR,4500000,6300000,monthly,,
standout,"504,101","Seni/Media/Komunikasi,Seni / Desain Kreatif",jobstreet-id-263263,PT Khaleesi Internasional Medika,false,Kualifikasi: Usia Maksimal 30 Tahun dan Memiliki Pengalaman minimal 2 Tahun di bidang Videographer / Video Content Creator. Minimal Lulusan S1 Desain...,full_time,3718488,false,true,Videographer & Photographer,https://www.jobstreet.co.id/id/job/videographer-photographer-3718488?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=16&jobId=jobstreet-id-job-3718488,Jakarta Barat,3 hours ago,2021-12-12T05:02:09Z,IDR,5000000,7000000,monthly,,
standout,"513,113","Layanan Kesehatan,Diagnosa/Lainnya",jobstreet-id-263263,PT Khaleesi Internasional Medika,false,Kualifikasi: Usia maksimal 30 tahun Berpengalaman minimal 1 tahun sebagai dokter gigi. Memiliki STR aktif yang masih berlaku Ramah dan memiliki...,full_time,3718487,false,true,Dokter Gigi,https://www.jobstreet.co.id/id/job/dokter-gigi-3718487?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=17&jobId=jobstreet-id-job-3718487,Jakarta Barat,3 hours ago,2021-12-12T04:57:09Z,IDR,5000000,7000000,monthly,,
standard,"508,191","Komputer/Teknologi Informasi,IT-Perangkat Lunak",431628,PT Cipta Piranti Sejahtera,false,"Responbilities Creating, presenting and delivering user flows, wireframes, prototypes, mockups, process maps and feature lists to effectively...",full_time,3718486,false,false,UI/UX Designer,https://www.jobstreet.co.id/id/job/ui-ux-designer-3718486?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=18&jobId=jobstreet-id-job-3718486,"Tangerang,Jakarta Raya",3 hours ago,2021-12-12T04:44:35Z,,,,monthly,,
standard,"506,107","Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",,,true,"Umur : Max 40 tahun.Pendidikan: Minimum D3, Kuliner.Japanese Menu - Yoshoku Cuisine: donburi, pasta, katsu, doria, curry, tempura, omurice, dllWestern...",full_time,3718485,false,false,Chef De Partie (Japanese / Western),https://www.jobstreet.co.id/id/job/chef-de-partie-japanese-western-3718485?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=19&jobId=jobstreet-id-job-3718485,Jakarta Barat,3 hours ago,2021-12-12T04:41:22Z,,,,monthly,,
standard,"508,191","Komputer/Teknologi Informasi,IT-Perangkat Lunak",431628,PT Cipta Piranti Sejahtera,false,"Responbilities1. Develop, implement, and customize application – Java Web2. Provide user recuirement update about application3. Giving advises/...",full_time,3718484,false,false,Java Web Developer,https://www.jobstreet.co.id/id/job/java-web-developer-3718484?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=20&jobId=jobstreet-id-job-3718484,"Tangerang,Jakarta Raya",3 hours ago,2021-12-12T04:36:40Z,,,,monthly,,
standard,"506,107","Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",451569,Jakarta FnB,false,Anda memiliki LEADERSHIP YANG TINGGI?Memiliki PRESTASI SALES BAGUS? Mengerti pembuatan SOP? Serta ingin mempunyai PENGHASILAN hingga 6 JUTA...,full_time,3718483,false,false,Manager Outlet,https://www.jobstreet.co.id/id/job/manager-outlet-3718483?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=21&jobId=jobstreet-id-job-3718483,"Tangerang,Jakarta Barat",3 hours ago,2021-12-12T04:34:36Z,IDR,4000000,6000000,monthly,,
standard,"508,191","Komputer/Teknologi Informasi,IT-Perangkat Lunak",430551,ARMATASOFT,false,We are looking for a skilled .Net Developer to join our Developer Team.Your Responsible: To develop web based application using the latest .Net...,full_time,3718482,false,false,.Net Developer,https://www.jobstreet.co.id/id/job/net-developer-3718482?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=22&jobId=jobstreet-id-job-3718482,Jakarta Selatan,3 hours ago,2021-12-12T04:28:42Z,IDR,10000000,20000000,monthly,,
standout,"507,121","Pendidikan/Pelatihan,Pelatihan & Pengembangan",432216,PT. EIKON Technology,false,"EIKON Technology, adalah Google Cloud Partner terbesar di Indonesia dan kami mencari candidat yang berpotensi untuk menjadi Trainer Cloud Specialist...",full_time,3718481,false,true,Trainer Cloud Product Knowledge,https://www.jobstreet.co.id/id/job/trainer-cloud-product-knowledge-3718481?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=23&jobId=jobstreet-id-job-3718481,Surabaya,4 hours ago,2021-12-12T04:04:28Z,,,,monthly,,"Dynamic Environmet,Working with Experts from Google / Microsoft,Career development opportunity"
standard,"503,144","Penjualan / Pemasaran,Penjualan - Jasa Keuangan",367840,PT AIA FINANCIAL,false,"Wujudkan Ambisi Besarmu, Raih Impian Besarmu! Jadilah Mitra AIA sebagai Bancassurance Consultant, dan maksimalkan potensi Anda untuk memperoleh...",full_time,3718480,false,false,"Bancassurance Life Consultant (Pekalongan, Cilacap, Tegal, Purwokerto)",https://www.jobstreet.co.id/id/job/bancassurance-life-consultant-pekalongan-cilacap-tegal-purwokerto-3718480?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=24&jobId=jobstreet-id-job-3718480,"Cilacap,Pekalongan,Purwokerto,Tegal",4 hours ago,2021-12-12T04:01:40Z,IDR,3000000,5000000,monthly,,
standard,"502,133","Sumber Daya Manusia/Personalia,Staf / Administrasi umum",jobstreet-id-321833,PT Bumi Anugrah Lestari Indah,false,Kualifikasi: Minimal pendidikan SMA / D3 / S1  Terbiasa dengan dokumen  Terbiasa dengan administrasi atau arsip  Memiliki etos kerja tinggi  Mempunyai...,full_time,3718478,false,false,Staf Admin,https://www.jobstreet.co.id/id/job/staf-admin-3718478?token=0~8a345c60-9ca1-4d7b-b6be-a3dd40b1a272&sectionRank=25&jobId=jobstreet-id-job-3718478,Bogor,4 hours ago,2021-12-12T03:39:06Z,,,,monthly,,
